Designator,Mid X,Mid Y,Rotation,Layer
D1,62.865,-56.4356,90.0,top
D10,234.315,-56.4356,90.0,top
D11,253.365,-56.4356,90.0,top
D12,272.415,-56.4356,90.0,top
D13,62.865,-75.4856,90.0,top
D14,81.915,-75.4856,90.0,top
D15,100.965,-75.4856,90.0,top
D16,120.015,-75.4856,90.0,top
D17,139.065,-75.4856,90.0,top
D18,153.9,-81.7,0.0,top
D19,190.125,-80.8,0.0,top
D2,81.915,-56.4356,90.0,top
D20,196.215,-75.4856,90.0,top
D21,215.265,-75.4856,90.0,top
D22,234.315,-75.4856,90.0,top
D23,253.365,-75.4856,90.0,top
D24,272.415,-75.4856,90.0,top
D25,62.865,-94.5356,90.0,top
D26,82.0,-94.3,90.0,top
D27,101.2,-94.4,90.0,top
D28,120.015,-94.5356,90.0,top
D29,139.065,-94.5356,90.0,top
D3,100.965,-56.4356,90.0,top
D30,158.115,-94.5356,90.0,top
D31,177.165,-94.5356,90.0,top
D32,196.215,-94.5356,90.0,top
D33,215.265,-94.5356,90.0,top
D34,234.315,-94.5356,90.0,top
D35,253.365,-94.5356,90.0,top
D36,272.415,-94.5356,90.0,top
D37,62.865,-113.5856,90.0,top
D38,81.915,-113.5856,90.0,top
D39,100.965,-113.5856,90.0,top
D4,120.015,-56.4356,90.0,top
D40,120.015,-113.5856,90.0,top
D41,139.065,-113.5856,90.0,top
D42,147.6375,-111.6806,270.0,top
D43,196.215,-113.5856,90.0,top
D44,215.265,-113.5856,90.0,top
D45,234.315,-113.5856,90.0,top
D46,253.365,-113.5856,90.0,top
D47,272.415,-113.5856,90.0,top
D5,139.065,-56.4356,90.0,top
D6,158.115,-56.4356,90.0,top
D7,177.165,-56.4356,90.0,top
D8,196.215,-56.4356,90.0,top
D9,215.265,-56.4356,90.0,top
SW1,54.7688,-54.7687,0.0,top
SW10,226.2188,-54.7687,0.0,top
SW11,245.2688,-54.7687,0.0,top
SW12,264.3188,-54.7687,0.0,top
SW13,54.7688,-73.8187,0.0,top
SW14,73.8188,-73.8187,0.0,top
SW15,92.8688,-73.8187,0.0,top
SW16,111.9188,-73.8187,0.0,top
SW17,130.9688,-73.8187,0.0,top
SW18,150.0188,-73.8187,0.0,top
SW19,169.0688,-73.8187,0.0,top
SW2,73.8188,-54.7687,0.0,top
SW20,188.1188,-73.8187,0.0,top
SW21,207.1688,-73.8187,0.0,top
SW22,226.2188,-73.8187,0.0,top
SW23,245.2688,-73.8187,0.0,top
SW24,264.3188,-73.8187,0.0,top
SW25,54.7688,-92.8687,0.0,top
SW26,73.8188,-92.8687,0.0,top
SW27,92.8688,-92.8687,0.0,top
SW28,111.9188,-92.8687,0.0,top
SW29,130.9688,-92.8687,0.0,top
SW3,92.8688,-54.7687,0.0,top
SW30,150.0188,-92.8687,0.0,top
SW31,169.0688,-92.8687,0.0,top
SW32,188.1188,-92.8687,0.0,top
SW33,207.1688,-92.8687,0.0,top
SW34,226.2188,-92.8687,0.0,top
SW35,245.2688,-92.8687,0.0,top
SW36,264.3188,-92.8687,0.0,top
SW37,54.7688,-111.9187,0.0,top
SW38,73.8188,-111.9187,0.0,top
SW39,92.8688,-111.9187,0.0,top
SW4,111.9188,-54.7687,0.0,top
SW40,111.9188,-111.9187,0.0,top
SW41,130.9688,-111.9187,0.0,top
SW42,159.5438,-111.9187,180.0,top
SW43,188.1188,-111.9187,0.0,top
SW44,207.1688,-111.9187,0.0,top
SW45,226.2188,-111.9187,0.0,top
SW46,245.2688,-111.9187,0.0,top
SW47,264.3188,-111.9187,0.0,top
SW5,130.9688,-54.7687,0.0,top
SW6,150.0188,-54.7687,0.0,top
SW7,169.0688,-54.7687,0.0,top
SW8,188.1188,-54.7687,0.0,top
SW9,207.1688,-54.7687,0.0,top
