Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C22, C23",0402,4,10uF,C15525
"C10, C11, C12, C13, C5, C6, C7, C8, C9",0402,9,100n,C1525
C14,0805,1,10uF,C15850
"C15, C16",0603,2,10nF,C57112
C17,0402,1,100nF,C1525
"C18, C19, C21",0603,3,100nF,C14663
C20,0805,1,3.3uF,C7393948
"C24, C25",0402,2,20pF,C1554
"C3, C4",0402,2,2.2uF,C307418
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D5, D6, D7, D8, D9",Diode_TH_SMD,47,D,C81598
F2,1206,1,fuse,C70076
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"R1, R2",0402,2,27,C25100
"R10, R9",0402,2,5.1k,C25905
R11,0402,1,10kΩ,C25744
R12,0603,1,10kΩ,C25804
R13,0402,1,1K,C11702
R8,0402,1,1KΩ,C11702
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW5, SW6, SW7, SW8, SW9",Choc_v2_Hotswap_1u,47,SW_PUSH,
SW48,SW_Push_1P1T_XKB_TS-1187A,1,boot,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,W25Q16JVUXIQ_WIN,1,W25Q16JVUXIQ,C2843335
U3,PMW3610DM-SUDU 16Pin,1,PMW3610,
U4,SOT-23-3,1,XC6206P332MR,C5446
U5,SOT-363-6_2P2X1P35_ONS,1,SMF05CT1G,C15879
U6,SOT-23,1,MCP1700x-180xxTT,C150796
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,C9002
