Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",102.100000,-80.780000,-90.000000,bottom
"C2","10uF","C_0402_1005Metric",98.420000,-84.900000,180.000000,bottom
"C3","2.2uF","C_0402_1005Metric",88.360589,-77.839411,45.000000,bottom
"C4","2.2uF","C_0402_1005Metric",86.539411,-77.339411,135.000000,bottom
"C5","100n","C_0402_1005Metric",80.560589,-85.760589,135.000000,bottom
"C6","100n","C_0402_1005Metric",94.630000,-81.140000,0.000000,bottom
"C7","100n","C_0402_1005Metric",85.789411,-78.059411,135.000000,bottom
"C8","100n","C_0402_1005Metric",85.060589,-79.439411,-135.000000,bottom
"C9","100n","C_0402_1005Metric",91.730000,-79.900000,45.000000,bottom
"C10","100n","C_0402_1005Metric",81.700000,-81.400000,135.000000,bottom
"C11","100n","C_0402_1005Metric",79.839411,-86.439411,135.000000,bottom
"C12","100n","C_0402_1005Metric",88.800000,-89.780000,-90.000000,bottom
"C13","100n","C_0402_1005Metric",92.000000,-85.710000,45.000000,bottom
"C17","100nF","C_0402_1005Metric",98.400000,-85.900000,180.000000,bottom
"F2","fuse","Fuse_1206_3216Metric",84.900000,-64.605001,-90.000000,bottom
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",81.800000,-48.045000,0.000000,bottom
"R1","27","R_0402_1005Metric",90.470000,-79.720000,-135.000000,bottom
"R2","27","R_0402_1005Metric",89.730000,-78.970000,-135.000000,bottom
"R3","1k","R_0402_1005Metric",79.000000,-87.200000,-45.000000,bottom
"R8","1KΩ","R_0402_1005Metric",93.600000,-87.610000,-90.000000,bottom
"R9","5.1k","R_0402_1005Metric",80.629375,-54.701875,90.000000,bottom
"R10","5.1k","R_0402_1005Metric",83.486875,-54.701875,90.000000,bottom
"R11","10kΩ","R_0402_1005Metric",98.390000,-86.900000,0.000000,bottom
"SW48","boot","SW_Push_1P1T_XKB_TS-1187A",105.525000,-87.700000,-90.000000,bottom
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",86.407798,-84.669157,135.000000,bottom
"U2","W25Q16JVUXIQ","W25Q16JVUXIQ_WIN",96.149999,-84.795999,90.000000,bottom
"U4","XC6206P332MR","SOT-23-3",99.900000,-82.337500,90.000000,bottom
"U5","SMF05CT1G","SOT-363-6_2P2X1P35_ONS",81.650001,-64.857500,-90.000000,bottom
"Y2","12MHz","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",76.851472,-87.751472,135.000000,bottom
