Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","Diode_TH_SMD",60.100000,-58.500000,90.000000,top
"D2","D","Diode_TH_SMD",68.600000,-50.800000,-90.000000,top
"D3","D","Diode_TH_SMD",98.200000,-58.500000,90.000000,top
"D4","D","Diode_TH_SMD",117.600000,-58.500000,90.000000,top
"D5","D","Diode_TH_SMD",136.600000,-58.200000,90.000000,top
"D6","D","Diode_TH_SMD",156.100000,-58.500000,90.000000,top
"D7","D","Diode_TH_SMD",174.600000,-58.600000,90.000000,top
"D8","D","Diode_TH_SMD",194.000000,-58.700000,90.000000,top
"D9","D","Diode_TH_SMD",212.800000,-58.600000,90.000000,top
"D10","D","Diode_TH_SMD",231.900000,-58.700000,90.000000,top
"D11","D","Diode_TH_SMD",250.800000,-58.600000,90.000000,top
"D12","D","Diode_TH_SMD",272.415000,-56.435600,90.000000,top
"D13","D","Diode_TH_SMD",60.000000,-77.300000,90.000000,top
"D14","D","Diode_TH_SMD",69.600000,-77.200000,90.000000,top
"D15","D","Diode_TH_SMD",103.900000,-75.200000,180.000000,top
"D16","D","Diode_TH_SMD",117.400000,-77.600000,90.000000,top
"D17","D","Diode_TH_SMD",136.800000,-77.500000,90.000000,top
"D18","D","Diode_TH_SMD",155.700000,-77.600000,90.000000,top
"D19","D","Diode_TH_SMD",174.300000,-77.400000,90.000000,top
"D20","D","Diode_TH_SMD",194.300000,-77.500000,90.000000,top
"D21","D","Diode_TH_SMD",212.800000,-77.700000,90.000000,top
"D22","D","Diode_TH_SMD",231.800000,-77.800000,90.000000,top
"D23","D","Diode_TH_SMD",251.000000,-78.000000,90.000000,top
"D24","D","Diode_TH_SMD",272.415000,-75.485600,90.000000,top
"D25","D","Diode_TH_SMD",60.400000,-97.200000,90.000000,top
"D26","D","Diode_TH_SMD",80.900000,-97.500000,90.000000,top
"D27","D","Diode_TH_SMD",99.600000,-97.200000,90.000000,top
"D28","D","Diode_TH_SMD",119.800000,-97.000000,90.000000,top
"D29","D","Diode_TH_SMD",136.500000,-96.900000,90.000000,top
"D30","D","Diode_TH_SMD",155.500000,-97.000000,90.000000,top
"D31","D","Diode_TH_SMD",174.700000,-96.500000,90.000000,top
"D32","D","Diode_TH_SMD",193.800000,-96.700000,90.000000,top
"D33","D","Diode_TH_SMD",212.900000,-96.800000,90.000000,top
"D34","D","Diode_TH_SMD",231.800000,-96.800000,90.000000,top
"D35","D","Diode_TH_SMD",251.000000,-96.800000,90.000000,top
"D36","D","Diode_TH_SMD",272.415000,-94.535600,90.000000,top
"D37","D","Diode_TH_SMD",60.300000,-115.525000,90.000000,top
"D38","D","Diode_TH_SMD",79.300000,-115.500000,90.000000,top
