Designator,Mid X,Mid Y,Rotation,Layer
C1,102.1,-80.78,270.0,bottom
C10,81.7,-81.4,45.0,bottom
C11,79.839411,-86.439411,45.0,bottom
C12,88.8,-89.78,270.0,bottom
C13,92.0,-85.71,135.0,bottom
C17,98.4,-85.9,0.0,bottom
C2,98.42,-84.9,0.0,bottom
C3,88.360589,-77.839411,135.0,bottom
C4,86.539411,-77.339411,45.0,bottom
C5,80.560589,-85.760589,45.0,bottom
C6,94.63,-81.14,180.0,bottom
C7,85.789411,-78.059411,45.0,bottom
C8,85.060589,-79.439411,315.0,bottom
C9,91.73,-79.9,135.0,bottom
D1,52.5,-51.0,180.0,bottom
D10,234.315,-56.4356,90.0,bottom
D11,253.365,-56.4356,90.0,bottom
D12,272.415,-56.4356,90.0,bottom
D13,63.5,-73.9,90.0,bottom
D14,82.6,-73.8,90.0,bottom
D15,100.4,-75.2,90.0,bottom
D16,120.0,-75.6,90.0,bottom
D17,139.065,-75.4856,90.0,bottom
D18,157.93,-75.53,90.0,bottom
D19,176.77,-75.56,90.0,bottom
D2,65.7,-53.2,270.0,bottom
D20,196.215,-75.4856,90.0,bottom
D21,215.265,-75.4856,90.0,bottom
D22,234.315,-75.4856,90.0,bottom
D23,253.365,-75.4856,90.0,bottom
D24,272.415,-75.4856,90.0,bottom
D25,47.3,-90.4,270.0,bottom
D26,65.2,-91.6,270.0,bottom
D27,84.0,-96.89,270.0,bottom
D28,103.1,-96.9,270.0,bottom
D29,139.065,-94.5356,90.0,bottom
D3,97.6,-47.7,180.0,bottom
D30,158.115,-94.5356,90.0,bottom
D31,177.165,-94.5356,90.0,bottom
D32,196.215,-94.5356,90.0,bottom
D33,215.265,-94.5356,90.0,bottom
D34,234.315,-94.5356,90.0,bottom
D35,253.365,-94.5356,90.0,bottom
D36,272.415,-94.5356,90.0,bottom
D37,62.08,-113.64,90.0,bottom
D38,81.35,-113.77,90.0,bottom
D39,100.56,-113.875,90.0,bottom
D4,120.0,-56.3,90.0,bottom
D40,119.44,-114.03,90.0,bottom
D41,138.78,-114.09,90.0,bottom
D42,147.6375,-111.6806,270.0,bottom
D43,196.29,-113.3,90.0,bottom
D44,215.265,-113.5856,90.0,bottom
D45,234.315,-113.5856,90.0,bottom
D46,253.365,-113.5856,90.0,bottom
D47,272.415,-113.5856,90.0,bottom
D5,138.79,-56.45,90.0,bottom
D6,158.115,-56.4356,90.0,bottom
D7,177.165,-56.4356,90.0,bottom
D8,196.215,-56.4356,90.0,bottom
D9,215.265,-56.4356,90.0,bottom
F2,86.9,-64.400001,270.0,bottom
J2,83.8,-47.84,180.0,bottom
R1,90.47,-79.72,315.0,bottom
R10,85.486875,-54.496875,90.0,bottom
R11,98.39,-86.9,180.0,bottom
R2,89.73,-78.97,315.0,bottom
R3,79.0,-87.2,225.0,bottom
R8,93.6,-87.61,270.0,bottom
R9,82.629375,-54.496875,90.0,bottom
SW48,105.525,-87.7,270.0,bottom
U1,86.407798,-84.669157,135.0,bottom
U2,96.149999,-84.795999,90.0,bottom
U4,99.9,-82.3375,270.0,bottom
U5,83.650001,-64.6525,90.0,bottom
Y2,76.851472,-87.751472,45.0,bottom
